,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
95473,1.7341,-9.939,11.604000000000001,3.3576,-0.069406,3.0622,13.927999999999999,6.1287,1.6454,0.016798,2
95474,1.7352,-9.939,11.600999999999999,3.3554,-0.099509,3.0602,13.919,6.1246,1.6443,-0.0079804,3
95475,1.6929,-9.939,11.747,3.4392,-0.08976100000000001,3.1366,14.267000000000001,6.2776,1.6854,-0.005405600000000001,4
95476,1.6973,-9.939,11.731,3.4303,-0.066592,3.1285,14.23,6.2614,1.681,0.02086,5
95477,1.7422,-9.939,11.577,3.3421,-0.085006,3.048,13.864,6.1003,1.6377,0.02222,6
95490,1.6882,0.2445,6.773,3.8149,-0.27051,3.2467,11.133,13.182,2.4882,0.0,1
95491,1.6882,0.2445,6.773,3.8149,-0.27566999999999997,3.2467,11.133,13.182,2.4882,-0.0073189,2
95492,1.6758,0.2445,6.8271,3.843,-0.29364,3.2706,11.215,13.279000000000002,2.5066,-0.027041000000000003,3
95493,1.6425,0.2445,6.977,3.9209,-0.30391999999999997,3.3369,11.443,13.548,2.5574,-0.0038198999999999998,4
95494,1.6817,0.2445,6.8012,3.8295,-0.29469,3.2591,11.175999999999998,13.232000000000001,2.4978,0.012844999999999999,5
95495,1.7099,0.2445,6.68,3.7665,-0.3002,3.2055,10.992,13.015,2.4567,0.007427600000000001,6
95544,7.2077,89.506,6.2332,2.5828,-0.23338000000000003,1.9576,13.062999999999999,4.4708,0.7093,0.008298100000000001,1
95545,7.2675,89.506,6.2068,2.5615,-0.24189000000000002,1.9415,12.955,4.434,0.7035,0.018203999999999998,2
95546,7.3389,89.506,6.1758,2.5366,-0.20099,1.9226,12.829,4.3909,0.6966,0.018499,3
95547,7.341,89.506,6.1749,2.5359,-0.21974000000000002,1.9221,12.825,4.3896,0.6964,0.025613999999999998,4
95548,7.3923,89.506,6.1531,2.5183,-0.222,1.9087,12.735999999999999,4.3592,0.6916,-0.0062029,5
95549,7.1629,89.506,6.2532,2.5989,-0.23686999999999997,1.9698,13.144,4.4987,0.7138,-0.015642,6
95586,1.1725,103.45,10.062000000000001,1.5843,0.0058119999999999995,1.3743,8.0082,9.401,4.0062,0.016035,1
95587,1.1913,103.45,9.8796,1.5592,-0.019098,1.3526,7.8818,9.2526,3.943,0.013415,2
95588,1.1882,103.45,9.9091,1.5633,-0.014108,1.3561,7.9022,9.2766,3.9532,-0.001019,3
95589,1.1713,103.45,10.074,1.5859,-0.0060848,1.3757,8.0164,9.4106,4.0103,-0.010086,4
95590,1.1607,103.45,10.18,1.6004,0.00011288,1.3883,8.0898,9.4967,4.047,-0.008584399999999999,5
95591,1.1624,103.45,10.162,1.598,-0.050987,1.3862,8.0775,9.4824,4.0409,-0.010579999999999999,6
95628,4.1132,-14.421,8.2188,3.0201,-0.00044344,2.4825,10.657,10.112,2.3001,-0.007026600000000001,1
95629,4.0843,-14.421,8.2809,3.0414,-0.003025,2.5001,10.732000000000001,10.183,2.3163,-0.010188,2
95630,4.0713,-14.421,8.3091,3.0511,0.016485,2.5081,10.765999999999998,10.216000000000001,2.3237,-0.005448,3
95631,4.0908,-14.421,8.2668,3.0366,0.005913300000000001,2.4961,10.715,10.167,2.3126,0.0019336,4
