"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"168",15,0,0,0,0,0.0666666666666667,0,0,0.133333333333333,0,0.0666666666666667,1487808000
"169",9,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,1487808000
"170",7,0,0,0,0,0,0,0,0,0,0,1487808000
"171",13,0,0.0769230769230769,0,0.153846153846154,0,0,0,0,0.0769230769230769,0,1487808000
"172",16,0,0,0,0,0,0,0,0,0,0.0625,1487808000
"173",10,0,0.1,0,0,0,0,0,0.1,0,0.1,1487808000
"174",8,0,0,0,0,0,0,0,0,0,0,1487808000
"175",10,0,0,0,0,0,0,0,0,0,0,1487808000
"176",12,0.0833333333333333,0.166666666666667,0,0.166666666666667,0,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0.0833333333333333,1487808000
"177",12,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,0.166666666666667,1487808000
"178",10,0,0.1,0,0,0,0,0,0,0,0,1487808000
"179",13,0,0.153846153846154,0,0.0769230769230769,0,0,0,0.0769230769230769,0,0.0769230769230769,1487808000
"180",10,0,0,0,0,0,0,0,0,0,0,1487808000
"181",12,0,0,0,0,0,0,0,0,0,0,1487808000
"182",12,0,0,0,0,0,0,0,0,0.0833333333333333,0,1487808000
"183",9,0,0,0,0,0,0,0,0,0,0,1487808000
"184",11,0,0,0,0,0,0,0,0,0.0909090909090909,0,1487808000
"185",13,0,0,0,0,0,0,0,0,0,0,1487808000
"186",12,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,1487808000
"187",15,0.133333333333333,0.0666666666666667,0,0.133333333333333,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,1487808000
"188",14,0,0,0,0,0,0,0,0,0,0,1487808000
"189",10,0,0,0,0,0,0.1,0,0,0.1,0,1487808000
"190",14,0,0,0,0,0,0,0,0,0,0,1487808000
"191",10,0,0,0,0,0.1,0,0.1,0,0,0.1,1487808000
"192",9,0,0,0,0,0,0,0,0,0,0,1487808000
"193",10,0,0.1,0,0,0,0,0,0,0,0.2,1487808000
"194",10,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,1487808000
"195",13,0,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,1487808000
"196",12,0,0,0,0,0,0,0,0,0,0,1487808000
"197",10,0.1,0,0,0.1,0,0.1,0,0,0.1,0.1,1487808000
"198",13,0,0,0,0,0,0,0,0.0769230769230769,0,0,1487808000
"199",14,0,0.0714285714285714,0,0,0,0,0,0,0,0.0714285714285714,1487808000
"200",13,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0,0.0769230769230769,0,1487808000
"201",12,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,1487808000
"202",11,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,1487808000
"203",6,0,0,0,0,0,0,0,0,0,0,1487808000
"204",11,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,1487808000
"205",11,0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,1487808000
"206",10,0,0,0,0,0,0,0.1,0.1,0,0.1,1487808000
"207",10,0,0,0,0,0,0,0,0,0,0,1487808000
"208",12,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0.25,1487808000
"209",13,0,0,0,0,0,0,0,0,0,0,1487808000
"210",10,0,0,0,0,0,0,0,0,0.1,0,1487808000
"211",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487808000
"212",6,0,0,0,0,0,0,0,0,0,0,1487808000
"213",6,0,0,0,0,0,0,0,0,0,0,1487808000
"214",15,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,1487808000
"215",9,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,0.222222222222222,1487808000
"216",14,0,0,0,0,0,0,0,0,0,0.142857142857143,1487808000
"217",12,0,0,0,0,0,0,0,0,0.0833333333333333,0,1487808000
"218",14,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0.214285714285714,1487808000
"219",11,0,0,0,0,0,0,0,0,0,0,1487808000
"220",10,0,0,0,0,0,0,0,0,0,0,1487808000
"221",7,0,0,0,0,0,0,0,0,0,0,1487808000
"222",10,0,0,0,0,0,0,0,0,0,0,1487808000
"223",12,0,0.0833333333333333,0,0,0,0,0,0,0,0.166666666666667,1487808000
"224",9,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0,0.111111111111111,1487808000
"225",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487808000
"226",11,0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,1487808000
"227",10,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,1487808000
"228",10,0,0,0,0,0,0,0,0.1,0,0,1487808000
"229",9,0,0,0,0,0,0,0,0,0,0,1487808000
"230",5,0,0.2,0,0,0,0,0,0,0,0.2,1487808000
"231",11,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,1487808000
"232",12,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,1487808000
"233",10,0,0.1,0,0,0,0,0,0,0,0,1487808000
"234",9,0,0.222222222222222,0,0,0,0,0,0,0,0.111111111111111,1487808000
"235",10,0.1,0.1,0,0.2,0.1,0,0,0.1,0,0.1,1487808000
"236",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487808000
"237",15,0,0,0,0,0,0,0,0,0,0,1487808000
"238",13,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769,0,0,0.0769230769230769,0,1487808000
"239",15,0.0666666666666667,0,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,1487721600
"240",13,0,0.0769230769230769,0,0,0,0,0,0.153846153846154,0.0769230769230769,0.153846153846154,1487721600
"241",16,0,0,0,0,0,0.0625,0.0625,0,0.0625,0,1487721600
"242",11,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,1487721600
"243",13,0,0,0,0,0,0,0,0,0,0,1487721600
"244",8,0,0.125,0,0,0.125,0,0,0,0,0.25,1487721600
"245",13,0,0.153846153846154,0,0,0,0,0,0,0,0.153846153846154,1487721600
"246",13,0,0,0,0,0,0,0,0.0769230769230769,0,0.153846153846154,1487721600
"247",8,0,0,0,0,0.125,0,0.125,0,0,0.25,1487721600
"248",10,0,0,0,0,0,0,0,0,0,0,1487721600
"249",10,0.1,0,0,0.1,0,0.1,0,0,0.1,0.1,1487721600
"250",10,0,0.1,0,0.1,0,0,0,0,0.1,0,1487721600
"251",8,0,0,0,0,0,0,0,0,0,0,1487721600
"252",15,0,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0,0.0666666666666667,1487721600
"253",13,0,0.0769230769230769,0,0,0,0,0,0,0,0,1487721600
"254",9,0,0,0,0,0,0,0,0,0,0,1487721600
"255",8,0,0,0,0,0,0,0,0,0,0,1487721600
"256",10,0,0,0,0,0,0,0,0,0,0,1487721600
"257",9,0,0,0,0,0,0,0,0,0,0,1487721600
"258",14,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0,0.0714285714285714,0,1487721600
